dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1743-11-01;7.478;1.866;Aix En Provence;France;44.20N;4.47E
1743-12-01;;;Aix En Provence;France;44.20N;4.47E
1744-01-01;;;Aix En Provence;France;44.20N;4.47E
1744-02-01;;;Aix En Provence;France;44.20N;4.47E
1744-03-01;;;Aix En Provence;France;44.20N;4.47E
1744-04-01;11.596;2.044;Aix En Provence;France;44.20N;4.47E
1744-05-01;13.287;1.791;Aix En Provence;France;44.20N;4.47E
1744-06-01;17.675;1.733;Aix En Provence;France;44.20N;4.47E
1744-07-01;20.056;1.825;Aix En Provence;France;44.20N;4.47E
1744-08-01;;;Aix En Provence;France;44.20N;4.47E
1744-09-01;15.835;1.834;Aix En Provence;France;44.20N;4.47E
1744-10-01;11.122;1.818;Aix En Provence;France;44.20N;4.47E
1744-11-01;7.075;1.755;Aix En Provence;France;44.20N;4.47E
1744-12-01;3.541;1.996;Aix En Provence;France;44.20N;4.47E
1745-01-01;1.671;2.075;Aix En Provence;France;44.20N;4.47E
1745-02-01;3.345;1.956;Aix En Provence;France;44.20N;4.47E
1745-03-01;5.85;1.685;Aix En Provence;France;44.20N;4.47E
1745-04-01;10.043;1.634;Aix En Provence;France;44.20N;4.47E
1745-05-01;;;Aix En Provence;France;44.20N;4.47E
1745-06-01;;;Aix En Provence;France;44.20N;4.47E
1745-07-01;;;Aix En Provence;France;44.20N;4.47E
1745-08-01;;;Aix En Provence;France;44.20N;4.47E
1745-09-01;;;Aix En Provence;France;44.20N;4.47E
1745-10-01;;;Aix En Provence;France;44.20N;4.47E
1745-11-01;;;Aix En Provence;France;44.20N;4.47E
1745-12-01;;;Aix En Provence;France;44.20N;4.47E
1746-01-01;;;Aix En Provence;France;44.20N;4.47E
1746-02-01;;;Aix En Provence;France;44.20N;4.47E
1746-03-01;;;Aix En Provence;France;44.20N;4.47E
1746-04-01;;;Aix En Provence;France;44.20N;4.47E
1746-05-01;;;Aix En Provence;France;44.20N;4.47E
1746-06-01;;;Aix En Provence;France;44.20N;4.47E
1746-07-01;;;Aix En Provence;France;44.20N;4.47E
1746-08-01;;;Aix En Provence;France;44.20N;4.47E
1746-09-01;;;Aix En Provence;France;44.20N;4.47E
1746-10-01;;;Aix En Provence;France;44.20N;4.47E
1746-11-01;;;Aix En Provence;France;44.20N;4.47E
1746-12-01;;;Aix En Provence;France;44.20N;4.47E
1747-01-01;;;Aix En Provence;France;44.20N;4.47E
1747-02-01;;;Aix En Provence;France;44.20N;4.47E
1747-03-01;;;Aix En Provence;France;44.20N;4.47E
1747-04-01;;;Aix En Provence;France;44.20N;4.47E
1747-05-01;;;Aix En Provence;France;44.20N;4.47E
1747-06-01;;;Aix En Provence;France;44.20N;4.47E
